name_beer,abv,name_brewery,city,country,latitude,longitude,descript,cat_name,style_name
Ichabod's Midnight Ride,6.0,Roy Pitz Brewing Company,Chambersburg,United States,39.939,-77.6566,"This Belgian style pumpkin ale was inspired by the legendary midnight ride of Ichabod Crane. It is a Belgian style ale complimented by a light touch of pumpkin and spice. Fresh toasted pumpkins are added in the mash with the grains adding a touch of the season to the brew. The complex fruitiness and dryness of the yeast is enhanced by the addition of sugars during fermantation. The beer is lightly spiced with pumpkin spice, all spice, and brown sugar. The pale and toasted malts used, provide a pie crust taste and smell in the beer as the higher alcohol's produced round out the finish.",Other Style,Pumpkin Beer
"Zwaanend,ale",8.0,Dogfish Head Craft Brewery,Milton,United States,38.7683,-75.3107,A neo-traditional Rye Bok brewed to commerate the 375th Anniversary of the First Town in the First State.,Other Style,American Rye Ale or Lager
Scratch #18 2009,7.3,Troegs Brewing,Harrisburg,United States,40.2559,-76.8715,"We started with the same grain bill as Scratch #12 (IPA) and substituted 25% rye for the base malt giving Scratch #18 a creamy mouth feel and a full-bodied taste.

Mount Hood and Chinook hops are combined here for flavoring and aroma, and Warrior hops are used for overall bitterness.

The rye plays off the Mount Hood hops, with both ingredients releasing an herbal, spicy flavor. Cheers.",Other Style,American Rye Ale or Lager
Climax Cream Ale,5.557142857142858,Climax Brewing Copmany,Roselle Park,United States,40.6598,-74.283,"Our Cream Ale is a light, crisp, yellow ale with hop-notes and citrus flavors. It's a smooth, easy drinking summer beer that's perfect for drinking on hot days and with light fare such as seafood and salads.",Other Style,American-Style Cream Ale or Lager
Climax Wheat Ale,5.0,Climax Brewing Copmany,Roselle Park,United States,40.6598,-74.283,"Hoffmann Hefeweizen is our newest offering and is a traditional German wheat beer made from 60% wheat malt and 40% barley malt. Wheat Ales such as this typically have banana and clove flavors but as Dave dislikes clove, he used a special yeast to strengthen the banana flavors. Hefeweizen is a nice, light, crisp summer beer that can be served with lemon or flavored syrups.",Other Style,Light American Wheat Ale or Lager
Michelob Hop Hound Amber Wheat,5.3,Anheuser-Busch,Saint Louis,United States,38.5983,-90.209,Unfiltered American amber wheat ale brewed with a blend of imported and domestic hops for a balanced slightly citrus hop aroma and caramel malty taste.,Other Style,Light American Wheat Ale or Lager
Long's Peak Raspberry Wheat,4.2,Estes Park Brewery,Estes Park,United States,40.3707,-105.52600000000001,This is one of our most popular beers. It is a light and refreshing raspberry-flavored wheat ale.  We use pure raspberry extract to give this beer its fruity aroma and flavor.,Other Style,Fruit Beer
Stinger Wild Honey Wheat,6.0,Estes Park Brewery,Estes Park,United States,40.3707,-105.52600000000001,We put close to a half a pound of Colorado honey per case in this wheat ale. The honey adds a sweetness and raises the alcohol content slightly. We use Mount hood and hallertau hops.,Other Style,Light American Wheat Ale or Lager
Valley Brew Pale Wheat,4.0,Valley Brewing Company,Stockton,United States,37.9551,-121.322,An American style Wheat Ale made with 50% malted 2 Row barley and 50% malted wheat. Valley Brew Pale Wheat is lightly hopped to produce a smooth and satisfying finish.,Other Style,Light American Wheat Ale or Lager
Valley Brewing Apricot Ale,4.0,Valley Brewing Company,Stockton,United States,37.9551,-121.322,Apricot Ale is a fruit beer produced using 100% Apricot fruit extract. The beer has a hint of Apricot in the nose and a sweet clean and refreshing finish.,Other Style,Fruit Beer
Valley Berry Wheat,4.0,Valley Brewing Company,Stockton,United States,37.9551,-121.322,"Valley Berry Wheat is a fruit beer produced using pure fruit extracts of Raspberry, Wildberry, Cherry and Blueberry. The beer has a wonderful fruity nose and a smooth clean finish.",Other Style,Fruit Beer
Dundee Wheat Beer,4.2,High Falls Brewing,Rochester,United States,43.1646,-77.6155,"Senator Joseph McCarthy. The Hollow Earth Society. Members of the Spanish Inquisition. All convinced they were blessed with the gift of clarity. And proof that clarity might be overrated. 

Sometimes, being unclearâ€”and a little flexibleâ€”is a good thing. Like when you are looking for the perfect refreshment. Dundee Wheat Beer combines wheat and yeast into a refreshing hefeweizen-style brew. Unfiltered, so it is slightly cloudy and pleasantly unclear. 

So the next time youâ€™re convinced youâ€™re right about what youâ€™ve been drinking, give a little â€œunclarityâ€ a try.

An American-style, unfiltered wheat beer. Pale straw in color with a light cloudiness from carefully selected wheat and yeast. Pleasant spicy malt aroma and a crisp hop finish.",Other Style,Light American Wheat Ale or Lager
Dundee Festive Ale,6.2,High Falls Brewing,Rochester,United States,43.1646,-77.6155,"So did you ever ask yourself...what exactly is there to be festive about during the holidays? Your brother in-law snoring on the air mattress? (Boy, letâ€™s hope thatâ€™s snoring.) The variety of toys with realistic sound effects? Fruit cake?

Dundee Festive Ale may be one of the few exceptions. One sip of the carefully matched seasonal spices and you realize that the holidays are worth paying...waiting for.

Oh, there may be one other thing to be festive about. Thereâ€™s a 13 to 1 chance against your brother in-lawâ€™s plane leaving on time. But at least thereâ€™s a chance.

Festively hearty and full bodied with a mild nutmeg, allspice, cinnamon, and orange peel spice character and subtle crystal malt flavor.",Other Style,Winter Warmer
White Magick of the Sun,6.75,"Voodoo Brewing Co.,LLC",Meadville,United States,41.6372,-80.1549,"This Wheat ale is made with a little Voodoo Twist. We use our house Belgian Ale yeast and add the average unmalted wheat, wheat, barley,raw oats, malted rye and just add more of each. Hopped evenly and spiced with coriander, bitter and sweet orange peel, juniper berries, 12 varieties of peppercorns,lemon grass and caraway. About 6.75% alc by vol. 

Bottle Conditioned and Refermented.  NOT A WIT BIER!!! Just stuff we like in beer that goes great with food. 

This beer is to be the answer to those hot summer days. Blows away carbonated water!!!!!",Other Style,Light American Wheat Ale or Lager
Celebration Wheat,5.107575757575758,Copper Kettle Brewery,Millmont,United States,40.8942,-77.1971,A nice traditional cloudy wheat beer. It is light in color with a banana and yeasty fragrance. This would go nice on a hot summer day or anytime you want a refreshing drink.,Other Style,Light American Wheat Ale or Lager
Capital Island Wheat,5.107575757575758,Capital Brewery,Middleton,United States,43.0949,-89.5163,,Other Style,Light American Wheat Ale or Lager
The Livery Dunkel Weizen,5.25,The Livery,Benton Harbor,United States,42.1185,-86.4537,This dark version of our Hefe Weizen retains the banana and clove flavors from the yeast and also has a richer malt flavor. Available November through April,Other Style,Light American Wheat Ale or Lager
Ginger Tom,4.0,Dux de Lux,Queenstown,New Zealand,-45.0331,168.66099999999997,"An old fashioned style ginger beer brewed naturally with honey, malt, lemon and fresh root ginger, leaving you with a refreshing crisp zesty flavour.",Other Style,Herb and Spice Beer
Round Barn Summer Wheat,5.107575757575758,The Round Barn Winery & Brewery,Baroda,United States,41.9211,-86.4583,"An unpretentious American pale wheat beer, our Summer Wheat pours a cloudy golden-orange, just like a sunset over Lake Michigan. Its assertive wheat flavor is complimented with hints of citrus zest. Garnish with a slice of orange or lemon. Round Barn beer is bottle conditioned, decant into a weizen glass before drinking for the best taste experience.",Other Style,Light American Wheat Ale or Lager
Harpoon Winter Warmer,5.9,Harpoon Brewery - Boston,Boston,United States,42.3465,-71.0338,"Winter Warmer was Harpoonâ€™s first seasonal beer.  It was designed to be enjoyed during the holiday season. 

When you bring a glass of this dark copper ale to your lips to take your first sip you will notice the aroma of cinnamon.  There is no aromatic hop added that might overpower the distinct spice scent.  The medium body of this beer is formed from caramel and pale malts.  These create enough body to support the spices without making the beer excessively rich.  Bittering hops are added to counter the sweetness of the malt and spice.  The finish of the beer is a blend of cinnamon and nutmeg.  The combination of these two spices results in a balanced, pumpkin-pie flavor. 

The overall character is a smooth, medium bodied ale spiced with cinnamon and nutmeg",Other Style,Herb and Spice Beer
Cerise,6.5,Founders Brewing,Grand Rapids,United States,42.9585,-85.6735,,Other Style,Fruit Beer
Ãœber Sun Imperial Summer Wheat Ale,8.0,Southern Tier Brewing Co,Lakewood,United States,42.1008,-79.3357,"It is through the movement of the universe that life presents itself in transformation. It is in this spirit that we make ÃœberSun, a tribute to the dynamic energy of summer. The alignment of wheat and barley through this hop-infused brew embodies the solar system itself... This may be a difficult task, but one our brewers revel in! They brew a galaxy of taste into every batch. ÃœberSun is the ultimate experience that will challenge you with each sip. ÃœberSun Imperial Summer Wheat Beer takes off where our Hop Sun finishes. Like itâ€™s little brother, ÃœberSun is clean and full of flavor, but donâ€™t pull an Icarusâ€“ this is one big beer! Pour a glass or drink straight from the bottle, itâ€™s meant to be consumed wisely with friends between summer solstice and autumnal equniox.",Other Style,Light American Wheat Ale or Lager
422 Pale Wheat Ale,5.0,Southern Tier Brewing Co,Lakewood,United States,42.1008,-79.3357,"Pour 422 Pale Wheat Ale into a pint glass, give it a long whiff and youâ€™ll realize that this isnâ€™t your average pale golden wheat. Preserved in its unfiltered state, 422 is a fantastic session ale in which flavors of wheat, barley and hops commingle to a refreshing and zesty conclusion. Hints of orange and sweet malts waft to the fore as a touch of bitterness contributes to a smooth finish. 422 is brewed as a tribute to preserving our precious planet and itâ€™s environment. It is responsibly packaged with over 80% recycled consumer products and is completely recyclable. Enjoy 422 all year as to take one stride closer to a eco-friendly life.",Other Style,Light American Wheat Ale or Lager
Huckleberry Ale,3.5,Coeur d'Alene Brewing Company,Coeur d'Alene,United States,47.6745,-116.78399999999999,,Other Style,Fruit Beer
Sea Dog Raspberry Wheat Ale,4.5,Sea Dog Brewing Company,Bangor,United States,44.7974,-68.77,"Sea Dog Raspberry Wheat Ale is a dry, crisp refreshing ale with the added essence of raspberries.",Other Style,Light American Wheat Ale or Lager
Wacko,4.5,Magic Hat,South Burlington,United States,44.4284,-73.2131,This beer truly defies style. A portion of the fermentable sugars that make up this beer come from beet sugar. Real beet extract is used which gives the beer a beautiful light red color. Itâ€™s body is inviting and the taste is smooth. Hops are barely perceivable and are there to balance out the sweetness from the malt.,Other Style,Fruit Beer
Autumn Maple,10.0,The Bruery,Placentia,United States,33.8614,-117.88,"Brewed with 17 lbs. of yams per barrel (in other words, a lot of yams!), this autumn seasonal is a different take on the â€œpumpkinâ€ beer style. Brewed with cinnamon, nutmeg, allspice, vanilla, molasses, and maple syrup, and fermented with our traditional Belgian yeast strain, this bold and spicy beer is perfect on a cold autumn evening.",Other Style,Pumpkin Beer
Baltika #8,5.0,Pivzavod Baltika /,Sankt-Peterburg,Russia,59.93899999999999,30.3158,,Other Style,Light American Wheat Ale or Lager
Double White,6.6,Southampton Publick House,Southampton,United States,40.8903,-72.3927,"What do brewmasters do in their free time? If you're Phil Markowski, the obsesseive brewmaster of Southampton, you brew at home, of course! Phil turned his fascination with Belgian-style white ales into a quest to master one of the most challenging beers to brew. Using rustic ingredients like un-malted wheat, Phil experimented over his stove until he felt it was perfect. Take one taste and you'll agree, Phil got it \white.\""""",Other Style,Light American Wheat Ale or Lager
Bee Sting Honey Rye Ale,6.5,Walldorff Brew Pub,Hastings,United States,42.6488,-85.2875,A smooth golden ale flavored with Pilsner malt and fresh local honey from Schaefer Shack Farms.,Other Style,American Rye Ale or Lager
Santa Fe Wheat,5.25,Santa Fe Brewing Company,Santa Fe,United States,35.5966,-106.052,"A true Bavarian wheat yeast, sixty percent wheat malt, and German hops make Santa Fe Wheat Beer as true to the style as any American rendition can be. German Wheat Beer, with its hints of banana and clove, its delectable, spicy, hops, and its pale golden color, is becoming increasingly popular in Americaâ€™s craft brewing world, and with good reason: wheat beers are both light enough to please light beer drinkers, and complex enough to please true micro-brew connoisseurs. To mimic a classic German Hefeweisen, after pouring your Santa Fe Wheat Beer into a glass, swirl the last few drops in the bottle to loosen the yeast from the bottom, then pour the yeast over the top of your beer.",Other Style,Light American Wheat Ale or Lager
Cafe Amsterdam's 10th Anniversary Gruit,12.0,Midnight Sun Brewing Co.,Anchorage,United States,61.1473,-149.844,"SPECIAL COMMEMORATIVE BEER

Former brewer Ken Pajak teamed up with MSBC to create a very special beer to celebrate the 10 years that he and wife Shauna have owned CafÃ© Amsterdam. Since taking over this mid-town establishment, the Pajaks added a â€œbeer & wine licenseâ€ and subsequently transformed the European-style cafÃ© into a beer-centric place to grab breakfast, lunch, dinner and all beers during, around and between these fabulous meals. 

The cafe's beer menu is extensive and all-encompassing. The staff is knowledgeable and enthusiastic. And the beer pour is always rightâ€” temperature, glass, presentation. 

â€œNo hops were harmed in the brewing of this beer.â€ 

Gruit is an old styleâ€”one that incorporates spices, herbs and fruit but no hops. The latter detail makes this style very rare in modern times. CafÃ© Amsterdamâ€™s Gruit is dark, strong and interesting. This combination of pale and dark malts, sage, thyme, cinnamon, black peppercorn and fresh orange peel composes distinctive, substantial flavors that meld together wonderfully. And at 12% ABV, this cellar-friendly ale is ready to lay you down! Thoroughly enjoy this old-world beer now but stash some away for later dwelvings. 

Availability: 
AK - 22-oz bottles (limited release begins 05/29/2009)",Other Style,Fruit Beer
Bitter Woman in the Rye,6.540000000000001,Tyranena Brewing,Lake Mills,United States,43.0862,-88.8967,,Other Style,American Rye Ale or Lager
Goofy Foot Summer Wheat,4.8,Spring House Brewing Company,Conestoga,United States,39.9525,-76.3295,"This beer is lighter style and dry to the palate and with the distinct flavor of wheat makes for a perfect thirst-quenching beer. It is the ideal drink for beer drinker who appreciates tradition and personality in their beer, but also seeks a lighter, refreshing style, perfect for the summer months.",Other Style,Light American Wheat Ale or Lager
Winter Welcome 2008-2009,6.0,Samuel Smith Old Brewery (Tadcaster),Tadcaster,United Kingdom,53.8834,-1.2625,,Other Style,Winter Warmer
Heavy Seas The Great Pumpkin Imperial Pumpkin Ale,8.5,Clipper City Brewing Co.,Baltimore,United States,39.2308,-76.6751,"The secret is in the 2.5 pounds of spice per barrel for this fall brew. We add the pumpkin during the mash at precisely the right time to create just the perfect balance of malt, hops, pumpkin and spice.

estimated ABV 8.5% estimated IBU 25
Malt, Hops, Pumpkin & our Secret Spices",Other Style,Pumpkin Beer
SunRay Wheat Beer,4.7,Terrapin Beer Company,Athens,United States,33.9459,-83.4105,"The Sunray Wheat is a German-style unfiltered wheat beer brewed with a touch of local Georgia Coast Tupelo honey from the Savannah Bee Company.

Its inviting banana and sweet clove like aroma gives way to a pleasant, clean finish with a hint of tartness.

This beer is available in the Terrapin â€œAll The Hitsâ€ Variety 12-pack as well as in individual 6-packs.",Other Style,Light American Wheat Ale or Lager
Terrapin Golden Ale,5.0,Terrapin Beer Company,Athens,United States,33.9459,-83.4105,"Terrapin Beer Company was started by two guys who love big, bold beers. We are known for using a ton of flavorful ingredients and for pushing the envelope with the brews we create.

We have also been known to take pleasure in hiking, biking, kayaking, and just plain having fun in the great outdoors. When we get hot and sweaty even hopheads like us want nothing more than to enjoy a beer that is crisp and refreshing.

Which is why we created the perfect session beer â€“ the Terrapin Golden Ale.",Other Style,American-Style Cream Ale or Lager
Willow Wheat,5.107575757575758,Prescott Brewing Company,Prescott,United States,34.542,-112.47,,Other Style,Light American Wheat Ale or Lager
Lodgepole Light,5.557142857142858,Prescott Brewing Company,Prescott,United States,34.542,-112.47,,Other Style,American-Style Cream Ale or Lager
Derailed Black Cherry Ale,5.0,Erie Brewing Company,Erie,United States,42.1112,-80.113,"Brewery folklore tells a story about a train engineer with a passion for the taste of Railbender Ale. With every stop he made in Erie came an equal number of stops at our brewery. One extended visit to our fermenter left the engineer in a rather befuddled state of mind. On his fateful trip out of Erie that evening, his train mysteriously derailed. The engineer swears that a huge black cherry tree had fallen across the tracks as the culprit. No such tree was ever found, but the front of the locomotive was spattered with hundreds of red sports. In tribute to this folklore our expert brewers introduce Derailed Black Cherry Ale â€“ brewed with fresh sweet black cherries and the finest malted barley to create a truly cherrylicious ale. Please enjoy responsibly, as we would never want you to get derailed!",Other Style,Fruit Beer
Wild Country Raspberry Wheat,4.2,Moose's Tooth Pub and Pizzeria,Anchorage,United States,61.1902,-149.869,"Brewed with wheat and barley malts and flavored with pureed raspberries, this pink-hued, slightly tart ale gives a clean sip.",Other Style,Fruit Beer
Cattail Peak,4.7,Highland Brewing Company,Asheville,United States,35.5716,-82.4991,"An invigorating wheat beer with 100% organic grains, a hint of rye and the tang and hue of organic hibiscus, this refreshing brew is as cool as the breeze that blows down from Mount Mitchell to Cattail Peak. Enjoy this delicious creation when the hottest summer day demands the best of the Blue Ridge.",Other Style,Light American Wheat Ale or Lager
Smuttynose Pumpkin Ale,5.1,Smuttynose Brewing Co.,Portsmouth,United States,43.0325,-70.7948,"Smuttynose Pumpkin Ale is our homage to the craft and heritage of Americaâ€™s brewers. Recipes calling for the use of pumpkins in beer date back to early colonial times, when brewers sought to extend their supply of costly imported malt with locally grown ingredients, such as squash and â€œpompions.â€

In that spirit, we brew our ale with the addition of pumpkin to the mash, along with traditional spices to create a delicious American original.",Other Style,Pumpkin Beer
Wild Goose Pumpkin Patch,6.0,"Wild Goose Brewery, LLC",Fredrick,United States,39.3628,-77.4265,"Our Fall Seasonal, Pumpkin Patch Ale, is the perfect beer for an autumn night. Pumpkin Patch pours a hazy orange with frothy, ivory colored head. The nose immediately conjures images of Grandma baking pumpkin pie with notes of nutmeg, cinnamon and ginger. Medium body and mild carbonation yield a spicy, pumpkin flavor - from the 300 lbs. of pumpkin we use to brew this unique beer.",Other Style,Pumpkin Beer
Michelob Winter's Bourbon Cask Ale,6.0,Anheuser-Busch,Saint Louis,United States,38.5983,-90.209,"During even the coldest of weather, warm up to the smooth, robust taste of our Winter's Bourbon Cask Ale. Full of rich aromas that you find in the winter months, hints of vanilla and flavorful hops, this is a beer that is great for pouring into a large tulip glass and enjoying with friends around a fireplace.",Other Style,Winter Warmer
Trickster Belgian-style Pumpkin Ale,7.0,Midnight Sun Brewing Co.,Anchorage,United States,61.1473,-149.844,"OK, what do you get when we toss pale malted barley, pumpkin and spices into a stainless steel cauldron then stir in some magic? Uh, Trickster! The â€œmagicâ€ is actually mischievous Belgian yeast at play with cardamom, nutmeg and coriander. This spooky cool brew will make your glass glow bright despite the gloominess of the season. 

Designed to conjure up a little fun during the darkening days of autumn, Trickster is a frivolous concoction of earthy pumpkin, comforting malt, and lively spices. This makes Trickster the brew to accompany your post-winterizing duties, family fall dinners, ghost stories, U-boast-iT stories, and â€œsupposedly hauntedâ€ garage parties. 

But the flavor range of Trickster also pairs well with citrusy and spicy cuisine. Try a glowing glass with your favorite dishes that incorporate nutmeg, cardamom or corianderâ€”like Thai curries, Swedish meatballs, gingerbread, roasted pumpkin soup. Add Trickster to soups and sauces, batters and doughs, glasses and mugs.",Other Style,Pumpkin Beer
Cascade Razberry Wheat,4.5,Raccoon Lodge and Brewpub / Cascade Brewing,Portland,United States,45.4856,-122.75399999999999,Razberry Wheat is crisp with a refreshing tartness and the fresh aroma of raspberries. This salmon pink ale is just the thing to transport you to berry time in the summer.,Other Style,Fruit Beer
Exit 11 - Hoppy American Wheat,6.2,Flying Fish Brewing Company,Cherry Hill,United States,39.9121,-74.9701,"Exit 11 Hoppy American Wheat Ale is the second in their wildly popular Exit Series of Big Bottle Beers. Exit 11 is a confluence of styles and ingredients, just as Exit 11 is the point in New Jersey where the Garden State Parkway, the New Jersey Turnpike and several other highways come together.

â€œExit 11 is the point on the Turnpike where the Garden State Parkway branches off and takes hundreds of thousands of travelers to the renowned Jersey Shore,â€ says Flying Fish Founder Gene Muller.  â€œOur Exit 11 Wheat Ale is a fresh, citrus-y summer beer perfect for beachgoers and those who only wish they were headed â€˜downa shoreâ€™.â€

Exit 11 is an American-style wheat beer brewed with English ale yeast and three Pacific Northwest hops, Columbus, Palisade and Amarillo.  It is brewed with 50% Belgian pale malt and 50% white wheat, and is an ideal summer thirst quencher, with its bouquet of tangerines and apricots. Exit 11 is available only during this one-time release, and only until it sells out across New Jersey, Pennsylvania and Delaware.",Other Style,Light American Wheat Ale or Lager
Scratch #25 2009 Magical Moustache Rye,6.5,Troegs Brewing,Harrisburg,United States,40.2559,-76.8715,"This mahogany ale packs a lingering, earthy hoppiness. The addition of more than 20% rye to the grain bill gives a creamy mouthfeel and hints of spice that compliment the bitterness of hops. Subtle fruitiness come through from the Bravo hops added during the boil, but the Cluster and Liberty varieties used in dry-hopping this beer are the true flavor drivers in this spicy ale. Dark in color and intense is flavor, Scratch 25-2009 finds true balance in a beer that could have easily gone way over the top. Enjoy.",Other Style,American Rye Ale or Lager
Dogma,7.8,BrewDog Ltd,Fraserburgh,United Kingdom,57.683,-2.003,"Dogma is an innovative, enigmatic ale brewed with guarana, poppy seeds and kola nut all blended together with Scottish heather honey. A conspiracy of transcontinental ingredients infused with some devastatingly BrewDog imaginative thinking.

The flavours, intricacies and nuances of this beer are best enjoyed while musing over some obscure 17th Century philosophical meanderings, such as:

\If we disbelieve everything because we cannot certainly know all things we will do much",Other Style,Herb and Spice Beer
Winter Ale,6.806666666666667,Brooklyn Brewery,Brooklyn,United States,40.7215,-73.9575,A seasonal winter beer from Brooklyn,Other Style,Winter Warmer
JoBoy's Cream Ale,5.557142857142858,JoBoy's Brew Pub,Manheim,United States,40.1707,-76.3838,"A crisp, clean, easy drinking, refreshing American ale with a light body.",Other Style,American-Style Cream Ale or Lager
Bathtub Gin Gruit Ale,8.0,Midnight Sun Brewing Co.,Anchorage,United States,61.1473,-149.844,"This gruit ale was inspired by the Phish song of the same name. A traditional gruit in style, Bathtub Gin was brewed without hops. Instead Ben spiced his beer with botanicals typically used to flavor gin: juniper berries, orris root, angelica root, grains of paradise, lemon peel, orange peel and coriander. The result is intensely fragrant, flavorful and fabulous.",Other Style,Herb and Spice Beer
Frosted Frog Christmas Ale,8.6,Hoppin Frog Brewery,Akron,United States,41.0247,-81.4676,"The essence of Christmas is captured in this very bottle you are holding. Perfectly blended spices compliment Frosted Frogâ€™s rich malt flavors, creating the ultimate Christmas experience. Celebrate the holidays as you savor this very special seasonal offering.",Other Style,Winter Warmer
Frog's Hollow Double Pumpkin Ale,8.4,Hoppin Frog Brewery,Akron,United States,41.0247,-81.4676,"There's a Place just south they call Frog's Hollow, with cauldrons afire in Fall, and they only speak in whispers of the name. There's a brewery they say who has the secret, of spices picked just right. With a crying shout, they'll knock it out, and hand you this Frog's delight.",Other Style,Pumpkin Beer
Smashing Berry Ale,4.3,Hoppin Frog Brewery,Akron,United States,41.0247,-81.4676,"An abundance of fresh, natural fruit flavor makes this beer something special. You would think we picked the fruit moments before brewing.",Other Style,Fruit Beer
Smashing Berry Dark,5.9051282051282055,Hoppin Frog Brewery,Akron,United States,41.0247,-81.4676,"Fresh, natural fruit flavor and a hint of chocolate malt makes this dark beer something really special. The just picked, fresh fruit flavor is very evident in this beer.",Other Style,Fruit Beer
St. Patrick's Gold,4.8,Strangford Lough Brewing Company Ltd,Killyleagh,Ireland,54.3906,-5.6548,"Our smooth yet powerful wheat beer is unusually refreshing on the pallet.  Golden in colour, St. Patrick's Gold is brewed with barley and wheat malt. Citrus peel and coriander are added to the Goldings and Saaz hops for a symphony of authentic flavour.",Other Style,Light American Wheat Ale or Lager
Batch 666,7.7,Appalachian Brewing Company,Harrisburg,United States,40.2659,-76.8753,,Other Style,Winter Warmer
Full Moon Pale Rye Ale,5.7,Real Ale Brewing Company,Blanco,United States,30.113000000000003,-98.4156,"Tawny red and full of malt and hops, Full Moon's unique flavor truly satisfies. The smooth sweetness of malted rye and barley is complemented by generous helpings of Willamette and Cascade hops, resulting in an assertive American amber ale.",Other Style,American Rye Ale or Lager
Sweet Action,5.2,Sixpoint Craft Ales,Brooklyn,United States,40.674,-74.0118,"Our most basic interpretation of what makes beer great -- sweetness from the barley malt and active spice from the hops. It is hazy golden in color, with a sweet honey aroma, and a dry, crisp flavor",Other Style,American-Style Cream Ale or Lager
Triple Citra Hopped Satsuma Wit,5.9051282051282055,Abita Brewing Company,Abita Springs,United States,30.5049,-89.944,Similar to the Harvest Wit but with a lot more punch. A very pronounce citrus aroma with a triple hop flavor makes for one great beer.,Other Style,Fruit Beer
Honey Rye Ale,0.0,Abita Brewing Company,Abita Springs,United States,30.5049,-89.944,"This beer is not very bitter which allows the flavors of the rye and honey to come through. The result is a full bodied, sweet, and malty beer.",Other Style,Specialty Honey Lager or Ale
Strawberry,5.9051282051282055,Abita Brewing Company,Abita Springs,United States,30.5049,-89.944,Strawberry Harvest Lager is a wheat beer made with real Louisiana strawberries.,Other Style,Fruit Beer
Satsuma Wit,5.9051282051282055,Abita Brewing Company,Abita Springs,United States,30.5049,-89.944,This Wit beer has a sweet and subtle citrus flavor with a touch of spice that is cool and refreshing.,Other Style,Fruit Beer
Winter Warmer,5.2,Youngs & Company Brewery,London,England,51.4611,-0.1966,,British Ale,Old Ale
